id	partNo	chapterNo	sectionNo	problemNo	examYearRaw	examYears	sourcePage	partTitle	chapterTitle	sectionTitle	questionText	answerText	explanationText	checkStatus	note
doe-p04-c04-s02-q001	4	4	2	1	15수정	2015	p.200	위험평가절차에 대한 추가감사절차	특정항목별 감사절차	회계추정치와 관련 공시	회계감사기준에서 회계추정치란 해당 재무보고체계에 따른 측정에 추정불확실성이 따르는 화폐금액을 말한다. 거래유형, 계정잔액 및 공시와 관련된 회계추정치의 예를 3가지만 열거하시오.	회계추정치의 예는 다음과 같다(다음 중 3가지)(540-A1).<br>① 재고자산의 진부화<br>② 유형자산의 감가상각<br>③ 기반시설 자산의 평가<br>④ 금융상품의 평가<br>⑤ 계류 중인 소송의 결과<br>⑥ 기대신용손실 충당금<br>⑦ 보험계약부채의 평가<br>⑧ 보증 채무<br>⑨ 종업원퇴직급여부채<br>⑩ 주식기준보상<br>⑪ 영업권과 무형자산의 결정을 포함한 사업결합으로 취득한 자산과 부채의 공정가치<br>⑫ 매각예정 장기성 자산 또는 유형자산의 손상<br>⑬ 독립적인 당사자 간의 자산이나 부채의 비화폐성교환<br>⑭ 장기계약에 대한 수익인식	과거 감사기준에서는 회계추정치를 ‘공정가치 회계추정치’와 ‘기타 회계추정치’로 구분하여 예를 설명하였으나, 해당 문제도 ‘공정가치 회계추정’의 예를 묻는 문제였지만, 현행 감사기준은 회계추정치를 ‘공정가치 회계추정치’와 ‘기타 회계추정치’로 구분하고 있지 않다.	CONFIRMED	""
doe-p04-c04-s02-q002	4	4	2	2	24수정	2024	p.201	위험평가절차에 대한 추가감사절차	특정항목별 감사절차	회계추정치와 관련 공시	A회계법인의 김나래 회계사는 이차전지를 제조·판매하는 (주)대한의 20×3년 재무제표에 대한 외부감사를 계획하고 있다. (주)대한은 20×1년 중 전고체 배터리 관련 사업을 영위하고 있는 비상장회사인 (주)민국의 지분을 100% 취득하면서 1,000억원의 영업권을 인식하였다. 김나래 회계사는 감사증거로 경영진이 B회계법인에 의뢰한 공정가치 평가보고서를 입수하고, 공정가치 평가 전문성을 보유한 A회계법인의 나최강 회계사를 활용하기로 하였다.<br>회계추정치와 관련된 중요왜곡표시위험을 식별하고 평가하는 데 근거가 될 수 있도록 감사인이 기업과 기업환경 및 해당 재무보고체계와 관련하여 이해하여야 하는 사항(가), 김나래 회계사가 B회계법인이 수행한 업무의 유의성과 관련하여 수행하여야 하는 절차(나), 그리고 나최강 회계사의 활용과 관련된 감사절차의 성격, 시기 및 범위를 결정할 때 고려해야 하는 사항(다)을 각각 두 가지만 서술하시오.	(가) 다음 중 2가지<br>① 재무제표에 인식되거나 공시되는 회계추정치를 유발하거나, 회계추정치의 수정이 유발하는 기업의 거래와 기타 사건 및 상황<br>② 회계추정치와 관련된 해당 재무보고체계의 요구사항(인식 기준, 측정 근거, 관련 표시와 공시 요구사항 포함), 이들이 기업과 기업환경의 성격과 상황의 관점에서 적용되는 방법<br>③ 기업의 회계추정치에 대한 규제 요인<br>④ 감사인이 위 ①~③의 사항에 대한 이해를 바탕으로 기업의 재무제표에 포함될 것으로 기대하는 회계추정치와 관련 공시의 성격<br>(나) 다음 중 2가지<br>① 경영진측 전문가의 평가(적격성, 역량 및 객관성)<br>② 경영진측 전문가가 수행한 업무에 대한 이해<br>③ 경영진측 전문가가 수행한 업무의 적합성의 평가<br>(다) 다음 중 2가지<br>① 전문가의 업무가 관련된 사항의 성격<br>② 전문가의 업무가 관련된 사항에서의 중요왜곡표시위험<br>③ 감사 관점에서 해당 전문가의 업무가 가지는 유의성<br>④ 해당 전문가가 이전에 수행한 업무에 대한 감사인의 지식과 경험<br>⑤ 해당 전문가가 감사인이 속한 회계법인의 품질관리정책과 절차의 적용대상인지 여부		CONFIRMED	OCR 원문 반영
doe-p04-c04-s02-q003	4	4	2	3	15수정	2015	p.202	위험평가절차에 대한 추가감사절차	특정항목별 감사절차	회계추정치와 관련 공시	경영진은 재무제표를 작성할 때 회계추정치 도출을 위한 재무보고절차를 수립해야 한다. 감사인은 위험평가절차 및 관련활동을 수행할 때, 회계추정치의 중요왜곡표시위험을 식별하고 평가하는 데 근거가 될 수 있는 사항을 이해하여야 한다. 이러한 이해를 통해 감사인은 A(주)에 있을 수 있는 회계추정치의 성격과 유형을 예상할 수 있다. 감사인이 비상장주식 공정가치의 중요왜곡표시위험을 식별하고 평가하기 위하여 기업의 내부통제시스템과 관련하여 이해해야 할 사항을 세 가지만 서술하시오.	감사인이 비상장주식 공정가치의 중요왜곡표시위험을 식별하고 평가하기 위하여 기업의 내부통제시스템과 관련하여 이해해야 할 사항은 다음과 같다(다음 중 3가지).<br>① 회계추정치에 관한 경영진의 재무보고절차에 대한, 기업의 감독과 관리의 성격과 범위<br>② 경영진이, 경영진측 전문가의 활용을 포함하여, 회계추정치와 관련된 전문적인 기술과 지식에 대한 필요성을 식별하고 적용하는 방법<br>③ 기업의 위험평가절차가 회계추정치와 관련된 위험을 식별하고 대응하는 방법<br>④ 기업의 정보시스템<br>  - 기업의 정보시스템 내에서 유의적인 거래유형, 계정잔액 또는 공시에 대한 회계추정치 및 관련 공시에 관한 정보의 흐름<br>  - 그러한 회계추정치와 관련 공시에 대한 다음 사항<br>    ㄱ. 경영진이 해당 재무보고체계의 관점에서 적합한 관련 방법, 가정 또는 데이터의 원천, 그 변경 필요성을 식별하는 방법으로, 경영진이 모델의 이용을 포함하여 사용된 방법을 선택, 설계 및 적용한 방법, 경영진이 대용치를 포함한 사용된 가정을 선택하고 유의적 가정을 식별한 방법, 경영진이 사용된 데이터를 선택한 방법을 포함한다.<br>    ㄴ. 측정 결과의 가능한 범위에 대한 고려를 포함하여 경영진이 추정불확실성의 정도를 이해하는 방법<br>    ㄷ. 재무제표에 포함될 점추정치와 관련 공시의 선택을 포함하여 경영진이 추정불확실성에 대응하는 방법<br>⑤ 위 ④의 내용에 기술된 회계추정치를 도출하기 위한 경영진의 절차에 대한 통제활동 구성요소 내의 식별된 통제<br>⑥ 경영진이 이전 회계추정치의 결과를 검토하고 검토결과에 대응하는 방법	현행 감사기준은 회계추정치와 관련 공시에 대한 위험평가절차로서 이해하여야 할 사항을 ‘기업과 기업환경 및 해당 재무보고체계에 대한 이해’와 ‘내부통제시스템에 대한 이해’로 구분하고 있지만, 과거 감사기준은 이를 구분하지 않고 주로 ‘기업과 기업환경 및 해당 재무보고체계에 대한 이해’를 중심으로 규정하였고 구체적으로 이해하여야 할 사항도 다소 다르다.	CONFIRMED	OCR 원문 반영
doe-p04-c04-s02-q004	4	4	2	4	18수정	2018	p.203	위험평가절차에 대한 추가감사절차	특정항목별 감사절차	회계추정치와 관련 공시	A(주)의 전기재무제표에 인식한 비상장주식의 공정가치와 당기에 인식한 공정가치 간에 유의적 차이가 있는 것으로 나타났다. 감사인은 이와 같은 차이에 대한 이유를 식별하고 이해하기 위하여 위험평가절차를 수행하고 있다. 이와 같은 과거 회계추정치의 결과검토 또는 재추정이 중요한 왜곡표시위험을 식별하고 평가하는 데 도움이 된다. 소급적 검토를 수행함으로써 감사인은 입수할 수 있는 감사증거를 세 가지만 서술하시오.	감사인이 입수해야 하는 감사증거는 다음과 같다(다음 중 3가지)(540-A55).<br>① 경영진의 과거 추정절차의 효과성에 관한 정보<br>② 재무제표의 공시가 요구될 수 있는 변경의 원인과 같은 사항에 대한 감사증거<br>③ 회계추정치와 관련된 복잡성과 추정불확실성에 대한 정보<br>④ 회계추정치의 경영진 편의 가능성이나, 경영진 편의의 가능성을 나타내는 징후에 대한 정보		CONFIRMED	""
doe-p04-c04-s02-q005	4	4	2	5	18수정	2018	p.203	위험평가절차에 대한 추가감사절차	특정항목별 감사절차	회계추정치와 관련 공시	A(주)는 재무제표에서 중요한 비중을 차지하는 비상장주식을 보유하고 있다. A(주)는 동 주식에 대해 특정 미래현금흐름의 할인모형(Discounted cash flow model)을 이용하여 공정가치로 평가하고 있다. A(주)의 경영진은 전문가를 활용하지 않고 비상장주식의 공정가치를 도출하고 있다.<br>[비상장주식 평가모형]<br>(1) 미래 순현금흐름의 추정: t=1기간 말부터 t=5기간 말까지 순현금흐름을 연도별로 추정하고, t=6기간 말 이후의 순현금흐름은 t=5기간 말의 순현금흐름, 할인율 및 성장률을 고려하여 고든(Gordon)의 항상성장모형으로 추정한다.<br>(2) 할인율: 기업위험을 반영한 가중평균자본비용<br>감사인은 평가된 중요왜곡표시위험에 대응하고자 한다. 이를 위하여 감사인은 A(주)가 보유한 비상장주식의 공정가치의 성격을 고려하여 감사절차를 수행하기로 하였다. 감사인이 중요왜곡표시위험에 대응하기 위한 실증절차로서 수행하여야 하는 추가감사절차 3가지를 서술하시오.	감사인은 실증절차(추가감사절차)는 다음 접근방법 중 하나 이상을 포함하여야 한다.<br>① 감사보고서일까지 발생한 사건(후속사건)으로부터 감사증거를 입수<br>② 경영진의 회계추정치 도출방법에 대한 테스트(측정방법, 가정, 데이터 테스트)<br>③ 감사인의 점추정치 또는 범위추정치의 도출		CONFIRMED	장문 사례 항목: 원문 대조 검수 권장
doe-p04-c04-s02-q006	4	4	2	6	25수정	2025	p.204	위험평가절차에 대한 추가감사절차	특정항목별 감사절차	회계추정치와 관련 공시	최고집 회계사는 (주)브로리가 고객에게 부여하여 인식한 포인트부채(이연수익)의 적정성에 의문을 품고 있다. 최고집 회계사는 해당 부채에 대해 유의적 가정이 포함된 회계추정치로 판단하고 이에 대한 추가감사절차를 수행하고자 한다. 최고집 회계사가 유의적인 가정과 관련하여 다루어야 하는 추가감사절차 3가지를 다음의 예시를 제외하고 서술하시오.<br><예시> 유의적 가정이 해당 재무보고체계의 관점에서 적합하며, 해당되는 경우 전기로부터의 변경이 적합한지 여부	유의적 가정과 관련하여 감사인의 추가감사절차는 다음을 다루어야 한다(540-24).<br>① 유의적 가정을 선택할 때 이루어진 판단이, 경영진의 편의가능성에 대한 징후를 발생시키는지 여부<br>② 유의적 가정이 서로 간에, 그리고 다른 회계추정치에 사용되는 가정과 일관되는지, 또는 감사에서 입수한 감사인의 지식에 근거하였을 때 기업의 사업활동의 다른 분야에서 사용되는 가정과 일관되는지 여부<br>③ 해당되는 경우 경영진이 특정한 일련의 조치를 취할 의도가 있고 그러한 능력이 있는지 여부		CONFIRMED	""
doe-p04-c04-s02-q007	4	4	2	7	20수정	2020	p.204	위험평가절차에 대한 추가감사절차	특정항목별 감사절차	회계추정치와 관련 공시	감사인이 추가감사절차로서 경영진의 회계추정치 도출방법에 대한 테스트를 수행할 때에는, 회계추정치를 도출하는 데 경영진이 사용한 방법, 유의적 가정 및 데이터의 선택과 적용과 경영진이 점추정치를 선택하고 회계추정치에 대한 관련 공시를 개발한 방법과 관련된 중요왜곡표시위험과 관련하여 충분하고 적합한 감사증거를 입수하기 위한 절차를 수행하여야 한다. 이때, 감사인이 추가감사절차로서 범위추정치를 도출하는 경우 수행하여야 하는 절차 2가지를 서술하시오.	감사인이 범위추정치를 도출하는 경우 다음의 절차를 수행하여야 한다(540-29).<br>① 충분하고 적합한 감사증거에 의하여 뒷받침되며, 해당 재무보고체계의 측정목적과 기타 요구사항의 관점에서 합리적인지 감사인에 의해 평가된 금액만 포함하는지를 판단한다.<br>② 추정불확실성을 기술하는 재무제표의 공시에 대한 평가된 중요왜곡표시위험과 관련된 충분하고 적합한 감사증거를 입수하기 위한 추가감사절차를 설계하고 수행한다.		CONFIRMED	""
doe-p04-c04-s02-q008	4	4	2	8	22수정	2022	p.205-206	위험평가절차에 대한 추가감사절차	특정항목별 감사절차	회계추정치와 관련 공시	(주)한국은 전기자동차 배터리를 제조·판매하며, B회계법인은 (주)한국의 20×1년 재무제표에 대한 초도감사를 수행하였다.<br>• 20×0년 중 (주)한국이 판매한 배터리를 장착한 전기자동차에서 화재가 발생하여 (주)한국에 소송이 제기되었으며, (주)한국의 경영진은 외부 기술 전문가의 평가보고서를 활용하여 20×0년 말 추정 배상금액에 대한 충당부채를 인식함<br>• B회계법인은 소송 관련 충당부채의 추정에 추정불확실성이 높은 것으로 평가함<br>B회계법인이 수행한 감사절차가 다음과 같을 경우, 각 항목별로 B회계법인이 수행한 절차가 적절하지 않은 경우의 번호를 찾아 그 이유를 함께 서술하시오.<br>① 경영진이 20×0년에 활용한 외부 평가보고서는 20×1년과 다른 전문가가 발행하였으므로 비교가능성이 충분하지 않다는 결론을 문서화함<br>② 예상되는 배상금액의 추정이 경영진에게 보고된 사업계획과 일관성이 있는지 여부를 이사회 의사록을 입수하여 확인하고 문서화함<br>③ 경영진의 다른 회계추정치에 예상 배상금액이 일관성 있게 적용되었는지 확인하고 경영진이 추정불확실성의 정도를 이해하는지 여부와 어떻게 이해하는지에 대하여 별도로 고려할 사항은 없다고 문서화함<br>④ 감사보고서일 직전까지 후속사건 식별을 위한 절차들을 수행하고 그 결과를 문서화하였으나, 20×2년 2월 재무제표는 (주)한국의 월차결산 지연으로 열람하지 못함	① 각 보고서상의 추정의 근거가 된 데이터, 측정방법, 유의적 가정 등을 검토하여 비교가능성의 충분성에 대해서 결론을 내려야 하므로, 20×0년에 발행한 평가보고서가 20×1년과 다른 전문가가 발행하였다는 이유만으로 비교가능성이 충분하지 않다고 결론내리는 것은 타당하지 않다.<br>③ 감사인은 소송 관련 충당부채의 추정에 추정불확실성이 높은 것으로 평가하였으므로, 경영진이 추정불확실성의 정도를 이해하는지 여부와 어떻게 이해하는지에 대하여 다음 사항들을 고려하였어야 한다.<br>ㄱ. 경영진이 해당 재무보고체계의 관점에서 적합한 대체적인 방법이나 유의적 가정 또는 데이터의 원천을 식별하는지 여부 및 그 방법<br>ㄴ. 경영진이 예를 들어 회계추정치를 도출하는 데 사용된 유의적 가정이나 데이터의 변경의 영향을 결정하기 위한 민감도 분석을 수행하는 등 대체적인 결과를 고려하는지 여부 및 그 방법	위의 문제는 회계추정치와 후속사건에 대한 감사절차가 결합된 문제이다. ①의 절차는 타당하지 않다는 것을 쉽게 파악할 수 있지만, 그 근거를 쓰는 것이 쉽지 않을 수 있다. ③의 경우 회계추정치와 관련된 중요왜곡표시위험에 대한 대응절차에서 가장 중요한 요소, 즉 데이터, 측정방법, 유의적 가정을 활용하여 답안을 구성하면 합리적인 답안이 될 수 있다. ④의 절차는 후속사건의 식별절차 중 ‘재무제표일 후에 개최된 주주, 경영진 그리고 지배기구 회의록이 있을 경우 이를 열람하고, 회의록이 이용가능하지 않은 경우에는 해당 회의에서 논의된 사항들에 대하여 질문함’과 관련된 절차로서, 사업계획에 이사회 의사록에 포함되어 있다면 적절한 절차가 된다. ④의 절차는 후속사건의 식별절차 중 ‘기업의 최근 후속 중간재무제표가 있다면 적절한 절차가 될 수도 있는 절차이다.’	CONFIRMED	OCR 원문 반영
doe-p04-c04-s02-q009	4	4	2	9	21수정	2021	p.206-207	위험평가절차에 대한 추가감사절차	특정항목별 감사절차	회계추정치와 관련 공시	(주)대한의 감사인인 한국회계법인은 파생상품의 공정가치 회계추정치에 대해 충분하고 적합한 감사증거를 입수하기 위해 다음과 같은 감사절차를 수행하였다.<br>| 항목 | 설명 |<br>|---|---|<br>| ① | 한국회계법인은 중요왜곡표시위험을 식별하고 평가할 때, 파생상품의 공정가치 회계추정치와 연관된 추정불확실성 정도를 평가하였다. |<br>| ② | 한국회계법인은 파생상품의 공정가치 회계추정치가 유의적 위험을 발생시킨다고 결정하였다. 따라서 해당 위험과 관련된 기업의 통제와 관련된 절차를 생략하고, 실증절차만 수행하였다. |<br>| ③ | 한국회계법인은 유의적 위험을 초래하는 파생상품의 공정가치 회계추정치에 대하여 경영진이 이용한 유의적 가정들이 합리적인지 여부를 평가하였다. |<br>위의 각 항목(①~③)별로 한국회계법인이 수행한 절차가 적절한지 여부(예, 아니오)를 기재하고, 적절하지 않은 경우 그 이유를 서술하시오.	① 예<br>② 아니오. 유의적 위험으로 결정된 경우, 그 위험에 대처하는 통제를 식별하여, 그 통제가 효과적으로 설계되었는지 여부를 평가하고, 그 통제가 실행되었는지 여부를 결정하였어야 한다.<br>③ 예		CONFIRMED	표 포함 항목: 원문 대조 검수 권장
doe-p04-c04-s02-q010	4	4	2	10	18	2018	p.207	위험평가절차에 대한 추가감사절차	특정항목별 감사절차	회계추정치와 관련 공시	다음은 A(주)의 비상장주식의 공정가치와 관련 공시에 대하여 감사인이 수행한 감사절차이다.<br>| 번호 | 감사절차 |<br>|---|---|<br>| ① | 감사인은 경영진이 유의적 위험이 유발되는 비상장주식 공정가치의 추정불확실성에 따른 영향에 적절히 대응하지 못하였다고 판단하였다. 감사인은 비상장주식 공정가치의 합리성을 평가하기 위하여 공정가치의 점추정치를 도출하였다. |<br>| ② | 감사인은 경영진의 편의가능성에 대한 징후가 존재하는지를 식별하기 위하여 경영진이 회계추정치를 도출할 때 내린 판단과 결정을 검토하였다. 감사인은 경영진이 비상장주식의 공정가치를 추정할 때 편의가능성에 대한 징후가 존재한다고 판단하여 왜곡표시를 구성한다고 결정하였다. |<br>| ③ | 감사인은 경영진이 회계추정치를 도출할 때 적용한 유의적 가정이 합리적이라고 믿는지에 대해 이들로부터 서면진술을 입수하였다. |<br>감사인이 수행한 감사절차 또는 판단이 적절한지를 문항별로 판단하고, 적절하지 않은 경우에는 그 이유를 서술하시오.	① X: 감사인은 만약 경영진이 유의적 위험이 유발되는 회계추정치의 추정불확실성에 따른 영향에 적절히 대응하지 못하였다고 판단하면, 회계추정치의 합리성을 평가하기 위한 범위추정치를 도출하여야 한다.<br>② X: 공정가치를 추정할 때 편의가능성에 대한 징후 여부는 왜곡표시의 가능성에 대한 상황적 증거는 될 수 있지만 구체적인 증거는 될 수 없으므로 비상장주식의 공정가치에 대해 왜곡표시 여부를 결정하기 위해서는 추가적인 감사증거를 입수하여야 한다.<br>③ O		CONFIRMED	표 포함 항목: 원문 대조 검수 권장
