id	contentType	sourceRef	partNo	chapterNo	sectionNo	topicNo	parenNo	bracketNo	itemNo	title	answer	level	examYears	requiredKeywords	optionalKeywords	tags	isActive	checkStatus
p01-c01-001	GENERAL		1	1	1	2			1	감사대상별 분류	1) 재무제표(회계)감사: 재무제표는 재무보고체계에 따라 적절하게 작성되었는가?\n2) 업무감사: 업무가 효과적이고 효율적으로 이루어지고 있는가?\n3) 이행감사: 임직원들이 업무를 수행할 때 법규를 준수하고 있는가? (+ 재무제표감사에도 포함(법규의 준수 관련))	4		재무제표감사,업무감사,이행감사,재무보고체계,효과성	효율성,법규준수	1편;1장	TRUE	CONFIRMED
p01-c01-002	GENERAL		1	1	1	2			2	회계감사의 다양한 분류	1) 감사의 강제성\n① 법정감사: 법률의 요구에 의해서 수행되는 감사. 외부감사법, 자본시장법 등.\n② 임의감사: 법정감사 이외의 감사. 대출기관의 요구에 따른 감사 등.\n2) 감사의 수행주체\n① 외부감사: 감사대상회사와 독립된 감사인에 의해 수행되는 감사. 공인회계사의 재무제표감사, 국세청의 세무조사, 감사원의 감사 등.\n② 내부감사: 어떤 조직이나 기업 내부의 임직원에 의해 수행되는 감사. 내부감사부서에 의해 수행되는 재무제표감사, 업무감사, 이행감사 등.\n3) 감사의 연속성\n① 초도감사: 당기의 감사인이 전기 재무제표를 감사하지 않은 경우의 감사.\n② 계속감사: 당기의 감사인과 전기의 감사인이 동일한 경우의 감사.	5		법정감사,임의감사,외부감사,내부감사,초도감사	계속감사,강제성,수행주체,연속성	1편;1장	TRUE	CONFIRMED
p01-c01-003	GENERAL		1	1	2	1			1	회계감사의 목적	재무제표가 재무보고체계에 따라 공정하게 작성되었는지에 대하여 감사인이 감사를 실시하고 감사의견을 표명함으로써 재무제표의 신뢰성을 제고하고 재무제표이용자가 올바른 의사결정을 하는 데 도움을 준다.	3		재무제표,재무보고체계,공정하게 작성,감사의견,신뢰성 제고	의사결정	1편;1장	TRUE	CONFIRMED
p01-c01-004	GENERAL		1	1	2	2	1		1	정보위험이 발생하는 이유	① 이해관계의 상충(부정): 정보의 비대칭(정보제공자의 정보 > 정보이용자의 정보)이 존재하는 상황에서 정보제공자와 정보이용자 간에 이해가 일치하지 않는다면, 정보제공자는 자신에게 유리한 방향으로 정보를 제공할 가능성이 높다.\n② 정보의 원격성(부정): 정보이용자와 정보제공자 간의 정보제공 경로가 멀어질수록 정보가 왜곡될 가능성은 높아진다.\n③ 거래유형의 복잡성(오류): 기업의 거래유형이 복잡해짐에 따라 회계처리의 오류 발생 가능성이 높아진다.\n④ 자료의 대량화(오류): 기업의 규모가 클수록 자료가 대량화되며, 이는 재무정보의 오류 발생 가능성을 높인다.	5		이해관계의 상충,정보의 원격성,거래유형의 복잡성,자료의 대량화	부정,오류	1편;1장	TRUE	CONFIRMED
p01-c01-005	GENERAL		1	1	2	2	1		2	정보위험의 감소방법	① 정보이용자가 직접 검증하는 방법: 정보이용자가 기업의 모든 기록을 직접 검증하는 방법이다. 그러나 정보이용자의 전문성이 부족할 수 있으므로 실효성이 없다.\n② 정보위험을 정보제공자와 분담하는 방법: 정보이용자가 잘못된 정보로 인하여 손해를 입을 경우 정보제공자가 그 손해를 책임지는 방법이다. 그러나 정보제공자가 파산하면 정보이용자가 손해를 배상받지 못하는 문제가 있다.\n③ 독립적인 제3자가 검증하는 방법: 독립적이고 전문성을 갖춘 제3자가 회계정보를 검증하는 방법이다. 그 예가 외부감사이며 가장 현실적이고 효과적인 방법이다.	5		직접 검증,정보제공자와 분담,독립적인 제3자	외부감사,전문성,독립성	1편;1장	TRUE	CONFIRMED
p01-c01-006	LAW	외부감사법 §4; 시행령 §5	1	1	2	2	2		1	외부감사법상 감사대상	1) 상장 또는 상장예정 주식회사(당기 또는 차기)\n2) 다음 중 하나 이상의 비상장회사(전기말 기준)\n① 500억 이상: 자산 또는 매출액\n② 다음 중 2가지 이상에 해당하는 경우(단, 유한회사의 경우 사원 수의 포함 여부와 상관없이 3가지 이상)\n- 120억 이상: 자산총액\n- 100억 이상: 매출액\n- 100명 이상: 종업원 수\n- 70억 이상: 부채\n- 50명 이상: 사원 수(유한회사에만 적용)	3		상장회사,상장예정 주식회사,비상장회사,자산,매출액	자산총액,종업원 수,부채,사원 수	1편;1장;외부감사법	TRUE	NEEDS_CHECK
p01-c01-007	GENERAL		1	1	2	3			1	재무제표(정보)이용자의 효익	1) 채권자: 올바른 대출 의사결정을 하는데 도움이 된다.\n2) 투자자: 올바른 주식투자 의사결정을 하는데 도움이 된다.\n3) 정부: 적절한 세금부과, 통계작성 등에 도움이 된다.	4		채권자,투자자,정부,대출 의사결정,주식투자 의사결정	세금부과,통계작성	1편;1장	TRUE	CONFIRMED
p01-c01-008	GENERAL		1	1	2	3			2	감사대상회사의 효익	1) 차입 시 대출을 받을 가능성이 높아지며, 보다 낮은 이자율로 차입할 수 있다.\n2) 투자유치 시 투자를 받을 가능성이 높아지며, 보다 높은 금액으로 주식을 발행할 수 있다.\n3) 부정과 오류 예방: 회계감사를 실시한다는 사실 자체가 종업원 등에 의한 부정이나 오류를 예방하는 효과가 있다.\n4) 내부통제시스템의 개선: 감사인이 감사과정에서 발견한 내부통제시스템의 미비점 등에 대해 개선권고를 하게 되면, 감사대상회사의 내부통제시스템이 개선된다.	4		차입,대출 가능성,낮은 이자율,투자유치,주식 발행	부정과 오류 예방,내부통제시스템 개선	1편;1장	TRUE	CONFIRMED
p01-c01-009	STANDARD	감사기준서 200-A47	1	1	2	4	2	2	1	감사절차의 성격으로 인한 감사의 고유한계	실무적 한계\n① 경영진이 감사인으로부터 요청받은 정보를 완전하게 제공하지 않을 경우 감사인은 정보의 완전성을 확보할 수 없다.\n② 부정의 경우 부정을 은폐하기 위한 정교하고 치밀하게 구성된 계획이 수반되는데, 감사인의 감사절차는 문서를 조작하여 해당 문서가 진실하지 않음에도 진실하다고 믿게 하는 것과 같은 의도적인 왜곡표시를 발견하는 데 효과적이지 않을 수 있다. 감사인은 문서의 진위에 대한 전문가로서 훈련을 받지 않았으며 그렇게 기대될 수도 없다.\n법률적 한계\n감사는 공적 수사가 아니므로 감사인에게 수색권한과 같은 특정한 법적 권한이 없다.	2		실무적 한계,법률적 한계,정보의 완전성,부정,은폐,문서조작	문서의 진위,수색권한	1편;1장;회계감사기준	TRUE	CONFIRMED
p01-c01-010	STANDARD	감사기준서 200-A49	1	1	2	4	2	3	1	합리적인 시간 내에 합리적인 비용으로 감사를 수행하기 위하여 필요한 절차	합리적인 시간 내에 합리적인 비용으로 감사를 수행하기 위하여 필요한 절차(재무보고의 적시성 및 효익과 비용의 균형을 고려하여 채택하고 있는 감사절차)\n① 감사가 효과적으로 수행될 수 있도록 계획함.\n② 부정이나 오류로 인한 중요왜곡표시위험이 포함될 것으로 가장 높게 예상되는 분야에 감사노력을 집중하고, 그렇지 아니한 다른 분야에는 상대적으로 적은 노력을 기울임.\n③ 모집단의 왜곡표시를 조사하기 위해 테스트(표본감사)나 기타 수단을 사용함.	3		효과적으로 수행,계획,중요왜곡표시위험,감사노력 집중	상대적으로 적은 노력,테스트,표본감사	1편;1장;회계감사기준	TRUE	CONFIRMED
